tag id,tag,photo,name
f8e4fe7e46e547dc980a44c035ee2754,Brew Pub,,Brew Pub
961b083de8a645b480c4f60d788f0d7c,Orta Avrupa,,Orta Avrupa
1c073c56478741eaab24f15600d4bd64,Arnavut,,Arnavut
bf0c2529c8fb491dafaaa07cfc967f12,İran,,İran
3358c2831bfc4f78b66644399d5c27c3,Arjantin,,Arjantin
f72c1b8c0ffc4acd9debc6aeac927efe,Afrika,,Afrika
10113741ef0b40e2a74cfe655dd0c40b,Pakistan,,Pakistan
764635fc63d6439285f3610c8b6e2aec,Latin,,Latin
afc365b96c834e8fb9b7273d63708cce,Ermeni,,Ermeni
58dcb4e9788d43c584f5bff601253397,Amerikan Yerli,,Amerikan Yerli
2018aff88506419fa374aa4fabf9a8e1,Azerbaycan,,Azerbaycan
7becedb428544d1b97c92260aab657a9,Kafkas,,Kafkas
f7879515204843ef994f6bd22f0fbe86,Afkan,,Afkan
0db0ae78ffc54ddba176c57484f7ef68,Orta İtalya,,Orta İtalya
c1ca5ec252b142c7b8f08856e9643c2f,Kore,,Kore
79468188054546ecb74f288e222d2b09,Özbek,,Özbek
dedbf2eb468149758ce12d2b71dbc0bb,Napoli,,Napoli
0a22ec967a674b49bf6e77e7fd3a4913,Campania,,Campania
51ea47abd6074cc9ad3e68918f22ea23,İtalya,,İtalya
c816728d1e164882b539511171706d40,Endonezya,,Endonezya
e14a973c77b048a1866b89b4d339fd49,Ukrayna,,Ukrayna
5d06b80b1d274729a54067becf948b02,Avusturya,,Avusturya
d530a4f47dd14b13abb76330e529ec68,Tunus,,Tunus
006d4bb02a25405f9d7e4bb0ecb98dff,Orta Amerika,,Orta Amerika
b874de21993b459690c3b98fd075bc47,Fas,,Fas
88e1294629734d44a599a42bb1140129,Bangladeş,,Bangladeş
bf49c48a90df45b4b91f1f5b31d3f036,Brezilya,,Brezilya
23646db750be432987aacd010dddba29,İsviçre,,İsviçre
7e0a737333eb429ab9f298b295480dd2,Vietnam,,Vietnam
9af2e58a412c4444901e519bcdfe43bc,Hawai,,Hawai
e826eb0dd5d64d278e5d10e2bc60ee5c,Peru,,Peru
cb72adc84da64a9cada86b9df9225111,Avustralya,,Avustralya
3037a609c8804063b889d03fa4047702,Etiyopya,,Etiyopya
04057d93dc7d40b39dae4e3212293451,Güneybatı,,Güneybatı
733d922852e3425b9548973cfa2a269e,Sicilya,,Sicilya
86b84f66d6f743a5a5cd84059fe4792f,Portekiz,,Portekiz
7ad87e5391d9470a9f740da42cdb3f25,İsveç,,İsveç
def2cc0410954adb804177cd92220078,Yunnan,,Yunnan
45acf734fa034d8d941f95af0659a348,Gürcü,,Gürcü
b5e6d4b5aa774ae88fb4851383513ca5,Moğol,,Moğol
0fe8b9829f95442fa3d931bb0b14271d,Mısır,,Mısır
7051854004ae4a1c90e4dc03c6dece6b,Norveç,,Norveç
b594a62e05ae4eb99f199cf95ec6d939,Felemenk,,Felemenk
e4dfc6af44424b1288b267be096f86f8,Balti,,Balti
e504a3c6f6b34a81817570f907be4e58,Kanada,,Kanada
9358c8aaefdc4b4cb5dd95044040f798,Tıbbi gıdalar,,Tıbbi gıdalar
58276e1227404b0ba8993cfa3e8d5e4c,Toskana,,Toskana
233027c5c8c94ac683354212736f29a9,Şili,,Şili
b07af7caa45140faa6761bfc6189e83e,Kolombiya,,Kolombiya
c57673e8d43f43f5b526e643755939eb,Filipinler,,Filipinler
082e3314a04641d686319a0ddc3bf285,Japon tatlı dükkânı,,Japon tatlı dükkânı
3e8fd98be35641e0871eeead8e4ee89e,Lombard,,Lombard
c37bb746097c4400a32fa00ffc2ccd5c,Liguria,,Liguria
53fadb1737714f5e9eef06e51aae87c5,Küba,,Küba
9144c24feaba43689e0cdb545b3ab7d8,İrlanda,,İrlanda
9da320da366c46aeac136d37e5ee701f,Pizza,,Pizza
0e471f46e26944d48a88ce40185bfd49,Meyve dükkânları,,Meyve dükkânları
622100a3642547748d77a5a4002897f1,Polonya,,Polonya
2bb03033fe11416d865d1a57d3b862ab,İskandinav,,İskandinav
c556a7b892774564a765d19458b48c6e,Macar,,Macar
b5322527d2d4428fb00913b38d84815e,Cajun ve Creole,,Cajun ve Creole
47f4138620a642948ab3e40dbeb11efc,Ekvador,,Ekvador
c7b1f5f13f264c67a3c1ceb2cf8c99f4,Kosta Rika,,Kosta Rika
b0b339e0b1ec4a138957423e0e59ab93,Karayipler,,Karayipler
1adebb758f92449a9c42156b582b8be7,Lazio,,Lazio
5f6175e80fbf4813bb8dc805d749cddc,Burma,,Burma
afd12c82b97d4df0a7c9c37f65a3e99f,Sardinya,,Sardinya
56b571dde8594d0eaf53f55a4a4673e6,Asur,,Asur
3467faa2e2344dec80afed4591e98d29,Malezya,,Malezya
9d6cdc48a83a4fa0b6828aa223404aed,Cezayir,,Cezayir
31887496e6994bc7adec93052f2e9a52,Danimarka,,Danimarka
336bf9edd61343b789074f69c32d731b,Polinezya,,Polinezya
b44f42199f6f402cb2de14dfbd0f9d6c,Katalan,,Katalan
d8b26b9b5c4a4d7b841b8dbeaf1afcd7,Gal,,Gal
a575d5dc38d24ee5af3855434f31a662,Çek,,Çek
f08d1881f02d48d286848f852acbd1d5,Xinjiang,,Xinjiang
1e3dcfba29e14d3393d494b33031a343,Tayvan,,Tayvan
4403c422223a42bcab1fd2ca0b01de84,Romana,,Romana
0c72384f35e6463c98d24cdb74bb300d,Nijerya,,Nijerya
e53bae1670d347f49d1ec444dad92916,Nepal,,Nepal
c3c64d9310a8498db950a24c32057f4a,Sloven,,Sloven
2b34265a51ee4138b7a639f27eb93eb4,Venezuela,,Venezuela
b019b0437f9c41d2b13e72ba74301d2f,Hırvat,,Hırvat
5af161e6cebf45b38b5d04370ce1e69b,Emilia,,Emilia
9b67c28bed5243c8951fd2ce776b0f2f,Romanya,,Romanya
b6ed30342b00431aab554500c669c596,Guatemala,,Guatemala

